segment,K_0_0,K_0_1,K_0_2,K_0_3,K_0_4,K_1_0,K_1_1,K_1_2,K_1_3,K_1_4
0,-0.45374260648651055,-1.8149704259460622,2.9937316207069154e-16,-0.12126781251816578,-0.48507125007266555,2.9819211513870956,-0.7454802878467743,2.084278383797343,0.4850712500726668,-0.12126781251816646
1,1.7139734297919471,-0.7498633755339844,-1.6060444430216248e-15,0.45807866745109427,-0.20040941700985446,1.2319944326309074,2.815987274584935,2.084278383797342,0.20040941700985399,0.458078667451096
2,1.6204848481779286,0.9348951047180393,-6.699449010233142e-16,0.43309279302429987,0.24986122674478903,-1.5359938912689426,2.662389411532832,2.0842783837973373,-0.249861226744786,0.43309279302429454
3,1.32287565553229,-1.3228756555323011,-9.701162345293577e-16,0.3535533905932719,-0.3535533905932743,2.173429848494985,2.1734298484949868,2.084278383797346,0.3535533905932754,0.35355339059327606
4,0.8366600265340872,-1.6733200530681451,2.3806168765751456e-15,0.2236067977499818,-0.44721359549995787,2.7491954623355097,1.3745977311677524,2.0842783837973373,0.44721359549995554,0.22360679774997633
5,1.242910932531728,1.3982747990981987,2.7609486212878536e-16,0.3321819194149594,0.3737046593418302,-2.297307514919461,2.042051124372854,2.0842783837973435,-0.37370465934183106,0.3321819194149613
6,-2.680030860419376e-17,1.8708286933869698,-1.1034205051779122e-16,-6.6558589622096724e-18,0.4999999999999996,-3.0736939686080955,7.786742349293024e-17,2.08427838379734,-0.49999999999999845,-1.0290139137145781e-16
7,-1.0377490433255345,1.5566235649883182,-1.784970607788199e-15,-0.2773500981126132,0.41602514716892275,-2.557467971284848,-1.7049786475232334,2.0842783837973493,-0.41602514716892647,-0.2773500981126175
8,-1.7919288976719892,-0.5375786693015877,-1.4140627803372724e-15,-0.47891314261057805,-0.14367394278317183,0.8832194627575675,-2.9440648758585555,2.084278383797343,0.1436739427831728,-0.47891314261057466
9,-1.1976753439510222,1.4372104127412249,1.8853895448472778e-16,-0.32009219983223897,0.38411063979868787,-2.361277113654853,-1.967730928045711,2.0842783837973435,-0.3841106397986888,-0.3200921998322399
10,0.18615441264319602,1.861544126431998,1.9436176308799067e-15,0.04975185951049903,0.4975185951049941,-3.0584398100892036,0.30584398100892196,2.084278383797343,-0.4975185951049963,0.049751859510499596
11,0.9281909617845162,1.6243341831229028,-2.0251184909851848e-16,0.24806946917841885,0.4341215710622323,-2.668713709233308,1.5249792624190326,2.084278383797344,-0.4341215710622329,0.24806946917841854
12,-1.868899008816324,-0.0849499549461935,-4.3140743097023986e-16,-0.49948427010515045,-0.022703830459323823,0.13956925349425672,-3.0705235768736325,2.0842783837973378,0.02270383045932481,-0.49948427010514923
13,-0.736955526660766,-1.7195628955418154,1.943739402215517e-15,-0.1969596492895822,-0.4595725150090304,2.825170535042613,-1.2107873721611215,2.084278383797343,0.4595725150090283,-0.19695964928958443
14,-0.7598154957809605,-1.7095848655071613,7.487990283329752e-16,-0.20306923302672517,-0.4569057743101297,2.8087770454385024,-1.248345353528224,2.0842783837973395,0.45690577431012613,-0.20306923302672253
15,1.7269187938956616,-0.7195494974565338,-1.2353449555260408e-15,0.46153846153846106,-0.19230769230769454,1.1821899879261877,2.837255971022854,2.0842783837973404,0.19230769230769146,0.4615384615384598
